broad_sample	Supplier_Catalog	pert_type	control_type
BRD-U00087970-001-01-9	VS929	trt	
BRD-U00087971-001-01-9	VS995	trt	
BRD-U00087972-001-01-9	VS11	trt	
BRD-U00087973-001-01-9	VS11 and (+)-JQ1	trt	
BRD-U00087974-001-01-9	VS1085	trt	
BRD-U00087975-001-01-9	AD352	trt	
BRD-U00087976-001-01-9	VS535	trt	
BRD-U00087977-001-01-9	VS389	trt	
BRD-U00087978-001-01-9	VS11 + ibrutinib-amine	trt	
BRD-U00087979-001-01-9	VS549	trt	
BRD-U00087980-001-01-9	VS731	trt	
BRD-U00087981-001-01-9	VS994	trt	
BRD-U00087982-001-01-9	VS11 and VS581	trt	
BRD-U00087983-001-01-9	VS560	trt	
BRD-U00087984-001-01-9	VS558	trt	
BRD-U00087985-001-01-9	VS11 and dasatinib	trt	
BRD-U00087986-001-01-9	VS903	trt	
BRD-U00087987-001-01-9	VS11 and nutlin	trt	
BRD-U00087988-001-01-9	VS827	trt	
BRD-U00087989-001-01-9	VS854	trt	
BRD-U00087990-001-01-9	VS899	trt	
BRD-U00087991-001-01-9	VS632	trt	
BRD-U00087992-001-01-9	VS632 and nutlin	trt	
BRD-U00087993-001-01-9	VS667	trt	
BRD-U00087994-001-01-9	AD20	trt	
BRD-U00087996-001-01-9	VS11 and VHL ligand	trt	
BRD-U00087997-001-01-9	VS1086	trt	
BRD-U00087998-001-01-9	VS1087	trt	
BRD-U00087999-001-01-9	VS1088	trt	
BRD-U00088000-001-01-9	VS812	trt	
BRD-U00088001-001-01-9	VS11 and VS1088	trt	
BRD-U00088002-001-01-9	VS11 and VS812	trt	
BRD-U00088003-001-01-9	VS1115	trt	
BRD-U00088004-001-01-9	VS1025	trt	
BRD-U00088005-001-01-9	AD178	trt	
BRD-U00088006-001-01-9	AD183	trt	
BRD-U00088007-001-01-9	VS632 and VS812	trt	
BRD-U00088008-001-01-9	VS632 and VS1088	trt	
BRD-U00088009-001-01-9	VS832	trt	
BRD-U00088010-001-01-9	VS1092	trt	
BRD-U00088011-001-01-9	VS987	trt	
BRD-U00088012-001-01-9	VS989	trt	
BRD-U00088013-001-01-9	VS1069	trt	
BRD-U00088014-001-01-9	VS1088 and (+)-JQ1	trt	
BRD-U00088015-001-01-9	AD100	trt	
BRD-U00088016-001-01-9	AD107	trt	
BRD-U00088017-001-01-9	AD95	trt	
BRD-U00088018-001-01-9	AD213	trt	
BRD-U00088019-001-01-9	VS812 and (+)-JQ1	trt	
BRD-U00088020-001-01-9	VS1037	trt	
BRD-U00088021-001-01-9	VS1040	trt	
BRD-U00088022-001-01-9	VS1038	trt	
BRD-U00088023-001-01-9	puh71 and VS11	trt	
BRD-U00088024-001-01-9	puh71 and VS812	trt	
BRD-U00088025-001-01-9	puh71 and VS985	trt	
BRD-U00088026-001-01-9	AD304	trt	
BRD-U00088027-001-01-9	VS812 and Gefitinib	trt	
BRD-U00088028-001-01-9	VS1178	trt	
BRD-U00088029-001-01-9	VS1179	trt	
BRD-U00088030-001-01-9	VS1181	trt	
BRD-U00088031-001-01-9	VS1189	trt	
BRD-U00088032-001-01-9	VS1150	trt	
BRD-U00088033-001-01-9	VS1161	trt	
BRD-U00088034-001-01-9	VS1188	trt	
BRD-U00088035-001-01-9	VS1187	trt	
BRD-U00088036-001-01-9	VS1148	trt	
BRD-U00088037-001-01-9	VS1171	trt	
BRD-U00088038-001-01-9	VS1088	trt	
BRD-U00088039-001-01-9	VS812	trt	
BRD-U00088040-001-01-9	VS1013	trt	
BRD-U00088041-001-01-9	VS1143	trt	
BRD-U00088042-001-01-9	VS1144	trt	
BRD-U00088043-001-01-9	VS1142	trt	
BRD-U00088044-001-01-9	VS1155	trt	
BRD-U00088045-001-01-9	VS1156	trt	
BRD-U00088046-001-01-9	PK769	trt	
BRD-U00088047-001-01-9	VHL ligand and MK8722	trt	
BRD-U00088048-001-01-9	PK828	trt	
BRD-U00088049-001-01-9	(+)-JQ1 and MK8722	trt	
BRD-U00088050-001-01-9	PK874	trt	
BRD-U00088051-001-01-9	GNF-2 and MK8722	trt	
BRD-U00088052-001-01-9	PK880	trt	
BRD-U00088053-001-01-9	GNF-2 and MK8722	trt	
BRD-U00088054-001-01-9	PK962	trt	
BRD-U00088055-001-01-9	VS812 and MK8722	trt	
BRD-U00088056-001-01-9	PK957	trt	
BRD-U00088057-001-01-9	PK958	trt	
BRD-U00088058-001-01-9	PK947 and MK8722	trt	
BRD-U00088059-001-01-9	PK963	trt	
BRD-U00088060-001-01-9	PK954	trt	
BRD-U00088061-001-01-9	Gefitinib and MK8722	trt	
BRD-U00088063-001-01-9	VS775	trt	
BRD-U00088064-001-01-9	VS777	trt	
BRD-U00088065-001-01-9	VS786	trt	
BRD-U00088066-001-01-9	PT171	trt	
BRD-U00088067-001-01-9	PT159	trt	
BRD-U00088068-001-01-9	PT163	trt	
BRD-U00088069-001-01-9	PT174	trt	
BRD-U00088070-001-01-9	PT187	trt	
BRD-U00088071-001-01-9	PT166	trt	
BRD-U00088072-001-01-9	PT164	trt	
BRD-U00088073-001-01-9	PT176	trt	
BRD-U00088074-001-01-9	PT178	trt	
BRD-U00088075-001-01-9	PT179	trt	
BRD-U00088076-001-01-9	PT189	trt	
BRD-U00088077-001-01-9	PT534d	trt	
BRD-U00088078-001-01-9	PT534m	trt	
BRD-U00088079-001-01-9	PK799	trt	
BRD-U00088080-001-01-9	PK802	trt	
BRD-U00088081-001-01-9	PK803	trt	
BRD-U00088082-001-01-9	PK798	trt	
BRD-U00088083-001-01-9	PK801	trt	
BRD-U00088084-001-01-9	PK804	trt	
BRD-U00088085-001-01-9	PK806	trt	
BRD-U00088086-001-01-9	AD42	trt	
BRD-U00088087-001-01-9	AD43	trt	
BRD-U00088088-001-01-9	AD45	trt	
BRD-U00088089-001-01-9	AD46	trt	
BRD-U00088090-001-01-9	AD47	trt	
BRD-U00088091-001-01-9	AD49	trt	
BRD-U00088092-001-01-9	AD55	trt	
BRD-U00088093-001-01-9	AD64	trt	
BRD-U00088094-001-01-9	AD289	trt	
BRD-U00088095-001-01-9	AD314	trt	
BRD-U00088096-001-01-9	AD331	trt	
BRD-U00088097-001-01-9	KRC10	trt	
BRD-U00088098-001-01-9	VS1123	trt	
BRD-U00088099-001-01-9	QB-4271	trt	
BRD-U00088100-001-01-9	SCL381	trt	
BRD-U00088101-001-01-9	SCL377 and MK8722	trt	
BRD-U00088102-001-01-9	VS985 and MK8722	trt	
BRD-U00088103-001-01-9	SCL383	trt	
BRD-U00088104-001-01-9	SCL370	trt	
BRD-U00088105-001-01-9	MK8722 and ibrutinib	trt	
BRD-U00088106-001-01-9	SCL331	trt	
BRD-U00088107-001-01-9	MK8722 and ibrutinib-amine	trt	
BRD-U00088108-001-01-9	SCL344	trt	
BRD-U00088109-001-01-9	MK8722 and ibrutinib-piv	trt	
BRD-U00088110-001-01-9	SCL351	trt	
BRD-U00088111-001-01-9	SCL254	trt	
BRD-U00088112-001-01-9	PF-06409577 and ibrutinib-amine	trt	
BRD-U00088113-001-01-9	SCL335	trt	
BRD-U00088114-001-01-9	SCL231	trt	
BRD-U00088115-001-01-9	SCL209	trt	
BRD-U00088116-001-01-9	27366	trt	
BRD-U00088117-001-01-9	PF-06409577 and (+)-JQ1	trt	
BRD-U00088118-001-01-9	HY-111363	trt	
BRD-U00088119-001-01-9	SCL292	trt	
BRD-U00088120-001-01-9	AD336	trt	
BRD-U00088121-001-01-9	Imatinib	trt	
BRD-K15179513-001-03-4	NVP-ADW742	control	poscon
BRD-K15819326-001-02-9	AC-710	control	poscon
BRD-K95785537-001-26-9	PP-2	control	poscon
BRD-K40109029-001-06-9	SB-505124	control	poscon
	DMSO	control	negcon
